sites_ID;Class;Order;Family;Subfamily;Tribe;Genus;Species;Species Authors;;Wing size
bor1011;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Amphidecta;Amphidecta_pignerator;A. Butler, 1867;;32.39
bor1047;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Amphidecta;Amphidecta_pignerator;A. Butler, 1867;;32.39
bor1092;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Amphidecta;Amphidecta_pignerator;A. Butler, 1867;;32.39
bor1093;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Amphidecta;Amphidecta_pignerator;A. Butler, 1867;;32.39
bor1113;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Amphidecta;Amphidecta_pignerator;A. Butler, 1867;;32.39
bor1011;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Amphidecta;Amphidecta_reynoldsi;Sharpe, 1890;;27.35
bor1032;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Amphidecta;Amphidecta_reynoldsi;Sharpe, 1890;;27.35
bor1092;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Amphidecta;Amphidecta_reynoldsi;Sharpe, 1890;;27.35
bor1019;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Morphini;Antirrhea;Antirrhea_archaea;Hübner, [1822];;34.72
bor1020;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Morphini;Antirrhea;Antirrhea_archaea;Hübner, [1822];;34.72
bor1045;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Morphini;Antirrhea;Antirrhea_archaea;Hübner, [1822];;34.72
bor1046;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Morphini;Antirrhea;Antirrhea_archaea;Hübner, [1822];;34.72
bor1039;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Morphini;Antirrhea;Antirrhea_archaea;Hübner, [1822];;34.72
bor1011;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Morphini;Antirrhea;Antirrhea_archaea;Hübner, [1822];;34.72
bor1013;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Morphini;Antirrhea;Antirrhea_archaea;Hübner, [1822];;34.72
bor1014;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Morphini;Antirrhea;Antirrhea_archaea;Hübner, [1822];;34.72
bor1026;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Morphini;Antirrhea;Antirrhea_archaea;Hübner, [1822];;34.72
bor1027;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Morphini;Antirrhea;Antirrhea_archaea;Hübner, [1822];;34.72
bor1028;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Morphini;Antirrhea;Antirrhea_archaea;Hübner, [1822];;34.72
bor1029;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Morphini;Antirrhea;Antirrhea_archaea;Hübner, [1822];;34.72
bor1031;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Morphini;Antirrhea;Antirrhea_archaea;Hübner, [1822];;34.72
